"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900963"
"2","1st","4","11:58","Jump Ball Harden vs Reid (Tucker gains possession)","0","-80","0","0","0","10","1629675","1610612745","201935","0","0","200782","1610612745","60000","0021900963"
"3","1st","7","11:42","[HOU] House Jr. 3pt Shot: Missed","31","248","3","0","1","2","","1610612745","1627863","0","0","","1610612745","70000","0021900963"
"4","1st","8","11:40","[MIN] Hernangomez Rebound (Off:0 Def:1)","31","248","0","0","0","4","","1610612750","1627823","0","0","","1610612745","80000","0021900963"
"5","1st","9","11:20","[MIN] Hernangomez 3pt Shot: Missed","-5","265","3","0","1","2","","1610612750","1627823","0","0","","1610612750","90000","0021900963"
"6","1st","10","11:18","[HOU] Tucker Rebound (Off:0 Def:1)","-5","265","0","0","0","4","","1610612745","200782","0","0","","1610612750","1e+05","0021900963"
"7","1st","11","10:56","[HOU] House Jr. Turnaround Fadeaway shot: Missed","-119","0","2","0","86","2","","1610612745","1627863","0","0","","1610612745","110000","0021900963"
"8","1st","12","10:55","[MIN] Hernangomez Rebound (Off:0 Def:2)","-119","0","0","0","0","4","","1610612750","1627823","0","0","","1610612745","120000","0021900963"
"9","1st","13","10:46","[MIN] Russell Turnover : Bad Pass (1 TO) Steal:Harden (1 ST)","-73","52","1","0","1","5","201935","1610612750","1626156","0","0","","1610612750","130000","0021900963"
"10","1st","15","10:43","[HOU] Harden Turnover : Bad Pass (1 TO) Steal:Russell (1 ST)","183","360","1","0","1","5","1626156","1610612745","201935","0","0","","1610612745","150000","0021900963"
"11","1st","17","10:38","[MIN 3-0] Hernangomez 3pt Shot: Made (3 PTS) Assist: Russell (1 AST)","181","186","3","1","1","1","","1610612750","1627823","0","3","1626156","1610612750","170000","0021900963"
"12","1st","19","10:24","[HOU] Westbrook Pullup Jump shot: Missed","147","35","2","0","79","2","","1610612745","201566","0","3","","1610612745","190000","0021900963"
"13","1st","20","10:22","[MIN] Reid Rebound (Off:0 Def:1)","147","35","0","0","0","4","","1610612750","1629675","0","3","","1610612745","2e+05","0021900963"
"14","1st","21","10:12","[MIN 6-0] Hernangomez 3pt Shot: Made (6 PTS) Assist: Russell (2 AST)","-146","234","3","0","1","1","","1610612750","1627823","0","6","1626156","1610612750","210000","0021900963"
"15","1st","23","10:04","[HOU 2-6] House Jr. Alley Oop Dunk Shot: Made (2 PTS) Assist: Westbrook (1 AST)","5","5","2","0","52","1","","1610612745","1627863","2","6","201566","1610612745","230000","0021900963"
"16","1st","25","09:55","[MIN 9-2] Russell 3pt Shot: Made (3 PTS)","164","234","3","0","1","1","","1610612750","1626156","2","9","","1610612750","250000","0021900963"
"17","1st","26","09:37","[HOU] Harden 3pt Shot: Missed","-163","215","3","0","80","2","","1610612745","201935","2","9","","1610612745","260000","0021900963"
"18","1st","27","09:36","[MIN] Reid Rebound (Off:0 Def:2)","-163","215","0","0","0","4","","1610612750","1629675","2","9","","1610612745","270000","0021900963"
"19","1st","28","09:30","[MIN 11-2] Hernangomez Cutting Dunk Shot: Made (8 PTS) Assist: Okogie (1 AST)","0","3","2","1","108","1","","1610612750","1627823","2","11","1629006","1610612750","280000","0021900963"
"20","1st","30","09:16","[HOU] Covington 3pt Shot: Missed","24","258","3","0","1","2","","1610612745","203496","2","11","","1610612745","3e+05","0021900963"
"21","1st","31","09:14","[HOU] Tucker Rebound (Off:1 Def:1)","24","258","1","0","0","4","","1610612745","200782","2","11","","1610612745","310000","0021900963"
"22","1st","32","09:09","[HOU 5-11] Harden 3pt Shot: Made (3 PTS) Assist: House Jr. (1 AST)","-3","262","3","0","1","1","","1610612745","201935","5","11","1627863","1610612745","320000","0021900963"
"23","1st","34","08:53","[MIN] Hernangomez 3pt Shot: Missed","-25","280","3","0","1","2","","1610612750","1627823","5","11","","1610612750","340000","0021900963"
